kontakId,name,perusahaan,nomer_telepon,email
1,Cecil Seers,Oodoo,726-640-8216,cseers0@multiply.com
2,Filmer Yendle	Tagcat,272-384-6177,fyendle1@icq.com
3,Gillian Whopples,Feednation,421-850-1803,gwhopples2@oakley.com
4,Mira Rottenbury,Abatz,687-137-7020,mrottenbury3@hugedomains.com
5,Nerte Barcke,Zoonder,887-251-4395,nbarcke4@discuz.net
6,Meredith Penreth,Plambee,215-439-2603,mpenreth5@hatena.ne.jp
7,Fionnula Eyles,Flipopia,398-172-0641,feyles6@samsung.com
8,Aggie Acreman	Quinu,119-999-0916,aacreman7@adobe.com
9,Adelina Van der Daal,Quimm,331-413-3103,avan8@fc2.com
10,Curt Seely,Wikivu,289-579-4370,cseely9@ifeng.com
